title;lat;lng
азия;56.0000002;103.9999998
азов;47.1065585;39.4176939
академгородок;54.8482742;83.0973263
александрия;31.199004;29.894378
александровск;48.585751;39.1897675
алексин;54.5028103;37.0667213
алма-ата;43.21984255;76.9183518874968
алтай;50.7114101;86.8572186
алушта;44.677112;34.4095393
аляска;64.4459613;-149.680909
амстердам;52.3727598;4.8936041
анапа;44.894272;37.316887
анкона;43.6170137;13.5170982
антарктида;-82.1081822;34.37824
антарктика;-82.1081822;34.37824
армавир;44.9986975;41.1252241
архангельск;64.543022;40.537121
астрахань;46.349854;48.031567
аткарск;51.882442;45.012573
атлантида;15.81677435;-87.1147267146793
ашхабад;37.9396678;58.3874263
баада;14.4848591;74.3695804
баден;47.4736827;8.3086822
барвиха;55.7415519;37.2772218
барнаул;53.347378;83.778412
батайск;47.138527;39.742348
бежецк;57.781357;36.692535
белгород;50.595299;36.586933
белев;50.696529;25.973682
белоозеро;53.9122464;38.5323973
белоруссия;53.4250605;27.6971358
белосток;53.132398;23.1591679
бендеры;46.8187872;29.4683969
берлин;52.5170365;13.3888599
берн;46.9482713;7.4514512
бессоновка;53.309643;45.041382
бзыбь;43.3482662;41.0488339
бийск;52.5394905;85.2148673
благовещенск;50.290527;127.527161
богородицк;53.773571;38.126965
бологое;57.885204;34.049603
болхов;53.448994;36.002232
бомбей;47.862482;35.0263662
бонн;50.735851;7.10066
борисполь;50.3512101;30.95077
боровск;55.2067186;36.4813883
брест;48.3905283;-4.4860088
брянск;53.2423778;34.3668288
бугульма;54.5384152;52.7955953
будапешт;47.4983815;19.0404707
бузулук;52.788502;52.253899
буйнакск;42.8231634;47.1286143
булун;70.7021837;127.1861366
бухара;39.7675529;64.4231326
валуйки;50.211296;38.100227
ванкувер;49.262428;-123.11554
варшава;52.2319237;21.0067265
васильевка;47.4431859;35.2803026
велиж;55.6056951;31.1858270598523
верхотурье;58.861702;60.809338
ветлуга;57.810104;45.7415431
византия;49.0695021;33.4064855
вильно;54.6870458;25.2829111
вильнюс;54.6870458;25.2829111
висмар;43.297997;-6.4241813
витебск;55.1930197;30.2070437
владивосток;43.1150678;131.8855768
владикавказ;43.024593;44.68211
волгоград;48.710678;44.516804
вологда;59.218876;39.893276
волчанск;59.93787;60.079636
вольмар;57.5391883;25.4216251
воронеж;51.6548797;39.212949
воскресенск;55.322518;38.6816824
выборг;60.709217;28.744051
вышгород;50.5824332;30.485121
вязьма;55.2133861;34.2943756799081
вятка;58.6035257;49.6639029
гавр;49.4938975;0.1079732
гагра;43.2858243;40.265008
галич;49.123317;24.7299495
гамбург;53.550341;10.000654
гатчина;59.5706273;30.1305083
гвинея;10.7226226;-10.7083587
гдов;58.743066;27.8156854
германия;51.0834196;10.4234469
гибралтар;36.1451465;-5.3484848
гомель;52.4238936;31.0131698
гонконг;22.2793278;114.1628131
горки;52.1970361;19.9827915
гренландия;77.6192349;-42.8125967
грозный;43.316845;45.698967
грузия;41.6809707;44.0287382
гудермес;43.3439021;46.0958707
гуляйполе;47.6655382;36.2656849
гурзуф;44.5479215;34.2736976
дагестан;43.0574916;47.1332224
дербент;42.0576987;48.2938068
джанкой;45.7093755;34.3899131
дзержинский;48.0480279;39.4527482
дманиси;41.3310492;44.2041258
дмитров;56.3450695;37.5200723
днепропетровск;48.4680221;35.0417711
добрянка;58.4534571;56.4245447
домодедово;55.444794;37.754272
донбасс;40.5937197;71.8900867
донецк;48.0158753;37.8013407
дорогобуж;54.91548245;33.3038550061075
дубна;56.7573854;37.1375576
дудинка;69.406067;86.175072
дунай;45.2587805;19.8915929
душанбе;38.5425835;68.8152131865304
евпатория;45.1907635;33.3679049
егорьевск;55.3829765;39.0356223
екатеринбург;56.839104;60.60825
елец;52.613815;38.488453
енисейск;58.4532212;92.1748169
ессентуки;44.0468389;42.8565018
железноводск;44.1424034;43.0090751
житомир;50.2598298;28.6692345
жлобин;52.8909861;30.0383045
жмеринка;49.0367148;28.1138519
имп;-5.5314365;-47.4561953
индигирка;67.6371259;144.7454177
индия;22.3511148;78.6677428
ирбит;57.674042;63.063778
иркутск;52.289597;104.280586
кавказ;53.059204;30.828148
кагальник;47.076992;39.320744
казань;55.76041925;49.1902944737668
калининград;54.7066422;20.5105166
калуга;54.5101087;36.2598115
камо;34.7996736;138.9095462
камчатка;57.1914882;160.0383819
